caption	url	Visible	Subjective	Action	Story	Meta	Irrelevant	Other	When	How	Where	Comment
all saints church in the village	http://www.cheshirelife.co.uk/polopoly_fs/1.4888659.1486996613!/image/image.jpg_gen/derivatives/landscape_630/image.jpg	1	0	0	0	1	0	0	0	1	0	
actor in tights - leaving the gym	http://i.dailymail.co.uk/i/pix/2016/01/14/04/3026443600000578-0-image-a-77_1452745156620.jpg	0	0	0	0	0	1	0	0	0	0	junk
person in the living room	https://i.pinimg.com/736x/f8/92/a8/f892a8e91b274c8408460b6fb570b5ff--b-w-photos-walter-obrien.jpg	1	0	0	0	1	0	0	0	1	0	
this is an image of the necklace .	https://i.pinimg.com/736x/da/82/f4/da82f40e7dfa839f21c905b3087d8410--diamond-necklace-pendants-diamond-jewellery.jpg	1	0	0	1	0	0	0	0	0	0	
this is an image of the vintage gold bracelet .	http://lc.pandahall.com/lc_images/description/4db98207-161d-4751-95af-98ff9187674e.jpg	1	0	0	1	0	0	0	0	0	0	
the back of the dress .	https://static.topvintage.net/shop-product/98592-Vixen-30s-Classy-Black-Lace-Dress-102-10-19492-20161021-1-large.jpg	0	0	0	0	0	1	0	0	0	0	junk
a doll designed by person .	https://s-media-cache-ak0.pinimg.com/736x/3d/1d/00/3d1d00396c273a2feffcff2fbc36aa8d.jpg	0	0	0	1	0	0	0	0	0	0	
gold jewelry on display at the exhibition	https://photos.smugmug.com/SanJacintoVeterans/Mexican-Artifacts/i-J3QZQXZ/2/ae15f913/X2/2946-X2.jpg	1	0	0	0	1	0	0	0	1	0	
a cocktail in a glass	https://i.pinimg.com/736x/4b/11/22/4b11220b25e71533d18d2de8c699f965--krieger-martinis.jpg	1	0	0	0	0	0	0	0	0	0	
greeting card featuring person by person	https://render.fineartamerica.com/images/rendered/medium/greeting-card/images-medium-5/veils-1-silvia-duran.jpg	1	0	0	1	0	0	0	0	0	0	
tapestry hanging on the wall	https://i.pinimg.com/736x/52/88/fd/5288fd95c54e8bb82edeb98e92e8eeb7--mosaic-bathroom-mosaic-wall.jpg	0	0	0	0	0	1	0	0	0	0	junk
person of hard rock artist performs	https://media.gettyimages.com/photos/joel-king-of-the-wild-feathers-performs-on-stage-at-bikini-on-october-picture-id456552604?s=612x612	1	0	1	0	0	0	0	0	0	0	
another view of the trailer	https://exploratoriusnewhaven.files.wordpress.com/2014/05/imgp0945.jpg	1	0	0	0	1	0	0	0	0	1	
photograph of students in the library	https://media.gettyimages.com/photos/miller-family-enjoying-the-living-room-of-their-home-picture-id50646807?s=612x612	0	0	0	0	0	1	0	0	0	0	junk
the bride and groom dance their first dance .	http://www.modernweddingsolutions.com/wp-content/uploads/2014/03/00122-682x1024.jpg	1	0	1	0	0	0	0	0	0	0	
waves crashing onto the beach	http://farm9.staticflickr.com/8335/8346391069_2b697a1a65_b.jpg	1	0	1	0	1	0	0	0	1	0	
actor on the set of film directed by film director	http://i.dailymail.co.uk/i/pix/2015/08/28/07/2BBA2A3200000578-0-image-m-120_1440743727452.jpg	1	0	0	0	1	0	0	0	1	0	
bouquet of flowers in the restaurant	https://media.istockphoto.com/photos/close-up-view-of-a-fake-flower-with-blur-background-picture-id638373780?k=6&m=638373780&s=612x612&w=0&h=n4LU8MmUddHEaDZaYPs2bC2Sd7aQXxUAhCoCtPLvxkE=	0	0	0	0	0	1	0	0	0	0	junk
double bedroom on the ground floor	https://odis.homeaway.com/odis/listing/6b809f60-f38f-40ed-b22f-be6e803d80fc.c10.jpg	1	0	0	1	1	0	0	0	1	0	
many fish in a bowl	https://i.pinimg.com/736x/3b/2e/01/3b2e0107d596c34ab3a2ff440506c341--fish-artwork-asian-artwork.jpg	1	0	0	0	0	0	0	0	0	0	
a white gold and diamond brooch .	https://i.pinimg.com/736x/77/4e/b9/774eb9903ec7cf7cd33417c687573d1f--the-bangles-gold-bangles.jpg	1	0	0	0	0	0	0	0	0	0	
actor and person at the premiere	https://media.gettyimages.com/photos/actor-michael-biehn-and-wife-gina-marsh-attend-the-passenger-57-on-picture-id156129788?s=612x612	1	0	0	0	1	0	0	0	1	0	
front view of the backpack	https://i.pinimg.com/736x/72/67/ac/7267aca9edc45664b6fc1613197cc03b--day-backpacks-bear-grylls.jpg	1	0	0	0	0	0	0	0	0	0	
nail art # : magnetic designs for fascinating ladies .	https://i.pinimg.com/736x/1d/2a/35/1d2a3538441660320f58e7ade0fee370--polish-wedding-nail-colors.jpg	1	1	0	0	0	0	0	0	0	0	
engine bay of automobile model	https://s-media-cache-ak0.pinimg.com/736x/13/7c/50/137c50991b19fa885b670b377d830146.jpg	1	0	0	0	0	0	0	0	0	0	
home office with a desk	https://i.pinimg.com/736x/29/a5/9c/29a59ca264480f69662257c13a56e463.jpg	1	0	0	0	1	0	0	0	1	0	
automotive industry business for all seasons	http://www.lambocars.com/images/murcielago/murcielago_lbr660_35.jpg	1	1	0	1	0	0	0	0	0	0	
tree roots on a rock	http://yourbuddybob.com/wp-content/uploads/2016/05/image-13.jpeg	1	0	0	0	0	0	0	0	0	0	
pineapple growing on a tree	http://c8.alamy.com/comp/DJ0A9M/leaves-and-fruit-of-the-screw-pine-pandanus-fascicularis-DJ0A9M.jpg	1	0	0	0	0	0	0	0	0	0	
sea oats on the beach	https://ak5.picdn.net/shutterstock/videos/31180225/thumb/1.jpg	1	0	0	0	1	0	0	0	1	0	
example of a classic patio design with a pergola	https://www.cheatsheet.com/wp-content/uploads/2017/07/A-patio-outside-a-home-on-HGTVs-Fixer-Upper-1024x682.jpeg	1	1	0	1	0	0	0	0	0	0	
sports car on the track	https://img.newatlas.com/2017-toyota-86-car-7.jpg?auto=format%2Ccompress&fit=max&h=670&q=60&w=1000&s=6371f30c40cd2a2b623d555480d50986	1	0	0	0	0	0	0	0	0	0	
art on a wall by person	https://www.thetimes.co.uk/imageserver/image/methode%2Fsundaytimes%2Fprod%2Fweb%2Fbin%2F3beb5cde-b4d2-11e7-b205-f12f74cd90f3.jpg?crop=1300%2C1625%2C0%2C0	1	0	0	0	0	0	0	0	0	0	
image titled care for a step	http://slideplayer.com/4623380/15/images/13/Without+water%2C+a+plant+droops.jpg	0	0	0	0	0	1	0	0	0	0	junk
a tiny house on wheels .	https://i.pinimg.com/736x/02/f8/ba/02f8baab61672519ea530cb81e7f125a--building-a-tiny-house-house-on-wheels.jpg	1	0	0	0	0	0	0	0	0	0	
sailors stand on the flight deck of ship .	http://ukrainetrek.com/blog/wp-content/uploads/2012/08/parade-navy-day-sevastopol-ukraine-15.jpg	1	0	0	0	0	0	0	0	0	0	
person as comic book character	https://i.pinimg.com/736x/e5/00/ca/e500ca2133191c3bb8697d664993461d--anime-girl-hairstyles-hair-buns.jpg	1	0	0	0	0	0	0	0	0	0	
goats on a goat 's back	https://media-cdn.tripadvisor.com/media/photo-s/03/df/4e/c9/tree-hill-nature-center.jpg	1	0	0	0	0	0	0	0	0	0	
remove the screws from the motherboard .	https://d3nevzfk7ii3be.cloudfront.net/igi/LxxxEGLAfhGSVDLt.medium	0	0	0	1	0	0	0	0	0	0	
the pattern by person , via photo sharing website	https://i.pinimg.com/736x/56/cb/b5/56cbb50638c23e149a5d05de416bf3e0--crochet-shawl-patterns-crochet-shrugs.jpg	1	0	0	1	0	0	0	0	0	0	
view from the castle walls	http://l7.alamy.com/zooms/bce32ee6c27b44c1bc6ed7c9ec7e8534/tourists-visiting-the-tower-of-london-her-majestys-royal-palace-and-eb2y50.jpg	1	0	0	0	1	0	0	0	0	1	
shoes for a yellow dress	https://i.pinimg.com/736x/7f/69/7c/7f697c5a7fca57ad48fb9b410ec3ed10--grad-dresses-dresses-uk.jpg	1	0	0	0	0	0	0	0	0	0	
dancer in front of a window by painting artist	https://rlv.zcache.com/dancer_at_the_bar_c_1880_edgar_degas_poster-r085bec63f906406b922d5d7917fca745_aur0w_8byvr_512.jpg	0	0	0	1	0	0	0	0	0	0	
hip hop artist performs live on stage	https://media.gettyimages.com/photos/british-rapper-j-hus-performs-live-on-stage-during-a-concert-at-the-picture-id879210264?s=612x612	1	0	1	0	0	0	0	0	0	0	
a city from the river	https://media.gettyimages.com/photos/painting-of-a-landscape-view-of-river-with-boats-and-house-in-1857-picture-id461915853?s=612x612	1	0	0	0	0	0	0	0	0	0	
actors arrive at the premiere .	https://media.gettyimages.com/photos/actors-caitlin-mcdougall-and-erik-thomson-attend-the-launch-of-the-tv-picture-id53297140?s=612x612	1	0	1	0	1	0	0	0	1	0	
pop artist performs on stage	https://media.gettyimages.com/photos/singer-roger-daltrey-of-the-who-attends-the-rock-n-roll-fantasy-camp-picture-id169713360?s=612x612	0	0	0	0	0	0	1	0	0	0	not sure if true
the backpack by - $##.##	https://i.pinimg.com/736x/8b/a8/17/8ba81739cbbece6fd2188d3f06496e03.jpg	0	0	0	1	0	0	0	0	0	0	
young woman walking on the beach	https://ak6.picdn.net/shutterstock/videos/26209406/thumb/1.jpg	1	0	1	0	1	0	0	0	1	0	
actor in a red dress	https://i.pinimg.com/736x/71/4f/31/714f31726b1e804d120a4c27607247bb--queen-letizia-queen-maxima.jpg	1	0	0	0	0	0	0	0	0	0	
person in a blue dress	https://i.pinimg.com/736x/0a/ff/cc/0affcc9ff8785936b1eae835574ce76f--cute-dresses-charity.jpg	1	0	0	0	0	0	0	0	0	0	
flag is waving at a beautiful and peaceful sky in day time while sun is shining .	https://ak3.picdn.net/shutterstock/videos/28472803/thumb/1.jpg?i10c=img.resize(height:160)	1	0	0	1	1	0	0	1	0	0	
morning mist rising from the forest	http://l7.alamy.com/zooms/82ced10908034f10bdf3045ae6a17974/a-hill-with-autumn-trees-and-electrical-towers-in-the-midst-of-fog-ja00ya.jpg	1	0	1	0	1	0	0	1	0	0	
person , left , and person with the community .	http://www.goodyearaz.gov/Home/ShowImage?id=4116&t=635508873303370000	1	0	0	0	0	0	0	0	0	0	
portrait of a girl in glasses	https://ak9.picdn.net/shutterstock/videos/25028069/thumb/1.jpg?i10c=img.resize(height:160)	1	0	0	0	1	0	0	0	0	1	
some of the team members	https://accidentalwisdomblog.files.wordpress.com/2014/11/thanksgiving2013.jpg	1	0	0	0	0	0	0	0	0	0	
a flower made of petals	https://d1alt1wkdk73qo.cloudfront.net/images/guide/abecac78fc704bd886e319fa848d8143/640x960.jpg	1	0	0	0	0	0	0	0	0	0	
the girl is walking along the autumn leaves	https://ak5.picdn.net/shutterstock/videos/15173935/thumb/1.jpg	1	0	1	0	0	0	0	0	0	0	
night time under the stars	http://www.loptics.com/articles/fourlessons/fourlessons_pic4.jpg	1	0	0	0	1	0	0	1	0	0	
animal in a pink bow tie .	https://thumb7.shutterstock.com/display_pic_with_logo/3309632/291031529/stock-vector-french-bulldog-with-a-red-ribbon-sitting-in-front-of-white-background-291031529.jpg	1	0	0	0	0	0	0	0	0	0	
dead mole on the ground	http://l7.alamy.com/zooms/980c9c32a73348618a2566600a788f19/the-european-mole-is-peaking-out-of-leaves-dxtrt8.jpg	1	0	0	0	0	0	1	0	0	0	might not be dead
political map with the several provinces where administrative division is highlighted	http://l7.alamy.com/zooms/56a2f3d5d38c4f02b4466a09c3cbad96/china-and-the-province-of-hainan-relief-map-e4dywe.jpg	1	0	0	1	0	0	1	0	0	0	not entirely sure if true
person crosses the finish line .	http://blog.fitnessfirstme.com/wp-content/uploads/2015/11/fitness-first-dit-14.jpg	1	0	0	0	0	0	0	0	0	0	
woman hiking in the mountains	http://l7.alamy.com/zooms/b264e67aafd94a5db78f26b6d09ae88d/woman-hiker-on-a-top-of-a-mountain-h8nb5e.jpg	1	0	1	0	1	0	0	0	1	0	
wallpaper from the collection by person .	https://i.pinimg.com/736x/89/c7/3f/89c73fd1d19a0d2cc535edd7afa1f15c--teal-wallpaper-wallpaper-accent-walls.jpg	1	0	0	1	0	0	0	0	0	0	
digital art selected for the #	http://www.wikihow.com/images/c/c7/Make-a-Poster-in-Adobe-Illustrator-Step-10.jpg	0	0	0	0	0	1	0	0	0	0	junk
detail of a concrete floor	https://monicastangledweb.files.wordpress.com/2014/11/img_5161.jpg	1	0	0	0	1	0	0	0	0	1	
the cast of tv sitcom	https://media.gettyimages.com/photos/producer-naomi-scott-and-director-alethea-jones-attend-the-release-picture-id819126942?k=6&m=819126942&s=612x612&w=0&h=500sMcRQnlvZin6dj4Y_CmCyDrEJMcZPqf2loUwh6ZE=	1	0	0	0	0	0	0	0	0	0	
image of the shoe from the side	https://i.pinimg.com/736x/fc/f0/a3/fcf0a32b65a13b434377d3c48d82e24b--classic-nike-shoes-running-shoes-nike.jpg	1	0	0	0	1	0	0	0	0	1	
a recent roofer job in the area	https://allprodoor.com/files/804204AB-A706-4E4E-8066-CDC78263F341-e1481228060421-1024x720.jpg	1	0	0	1	1	0	0	0	1	0	
dolls from the ##s 's photo .	http://i.dailymail.co.uk/i/pix/2014/10/31/1414791840529_wps_83_EXCLUSIVE_COLEMAN_RAYNER_.jpg	0	0	0	0	0	1	0	0	0	0	junk
the head of a red deer .	http://c8.alamy.com/comp/KMYGDJ/isolated-young-red-deer-stag-with-a-crown-during-the-rutting-season-KMYGDJ.jpg	1	0	0	0	0	0	0	0	0	0	
leather handbags with on a chain	https://cdn.shopify.com/s/files/1/2362/3627/products/GZL-Women-handbags-PU-leather-business-briefcase-shoulder-bags-tote-female-notebook-laptop-bag-fashion-casual_9a8fea7f-b065-4e57-afca-9f440fb0b326_1024x1024.jpg?v=1509569912	0	0	0	0	0	0	1	0	0	0	junk?
biological species in the marsh	https://ak7.picdn.net/shutterstock/videos/6174197/thumb/1.jpg	1	0	0	0	1	0	0	0	1	0	
portrait of a young man	https://media.istockphoto.com/photos/man-looking-through-a-round-lens-picture-id171310240?k=6&m=171310240&s=612x612&w=0&h=GH8JH3lKmYZ5dgkQ21F6tzNAhyU7pRxEW1HN192BrOY=	1	0	0	0	1	0	0	0	0	1	
actor arrives at the premiere .	https://i.pinimg.com/736x/e6/fd/0e/e6fd0ed21843ce8df0271ea95ceb82da--marcia-strassman-celebrity-deaths.jpg	1	0	1	0	1	0	0	0	1	0	
football player runs with the ball	https://imagesvc.timeincapp.com/v3/fan/image?url=https%3A%2F%2Fmlsmultiplex.com%2Ffiles%2F2016%2F06%2Fclint-irwin-mls-toronto-fc-montreal-impact-1.jpg&c=sc&w=850&h=560	1	0	1	0	0	0	0	0	0	0	
day of the dead dress	https://media.istockphoto.com/photos/girl-in-white-clothes-holds-a-basket-of-christmas-decorations-picture-id626070400?k=6&m=626070400&s=612x612&w=0&h=f1PxfvIbhQmUFlzdStCCHRhJtRHcW6tJjQ__IWjpnMA=	0	0	0	0	0	1	0	0	0	0	junk
example of a trendy living room design with gray walls	https://i.pinimg.com/736x/9a/46/49/9a4649ac661d4e1c5303e2f65642d15a--decor-ideas-decorating-ideas.jpg	1	1	0	1	0	0	0	0	0	0	
children playing in a river	https://media.gettyimages.com/photos/the-river-cam-is-lined-with-young-couples-the-morning-after-the-may-picture-id77826980?s=612x612	1	0	0	0	0	0	0	0	0	0	
construction continues at the corner .	https://www.emporis.com/images/show/171228-Large-fullheightview-view-to-the-northwest-from-addison-road.jpg	0	0	0	0	0	1	0	0	0	0	junk
sign warning of the dangers	http://l7.alamy.com/zooms/36e511af03d7449ba661ad6d8bdce22f/troops-training-warning-sign-on-the-common-in-york-cf3xjt.jpg	1	0	0	0	0	0	0	0	0	0	
a fashion look featuring handbags .	https://i.pinimg.com/736x/ff/dc/c3/ffdcc3e322c6b9468fe55477c6a92eae--boho-bags-purse-essentials.jpg	1	0	0	0	0	0	0	0	0	0	
sunrise reflected in a lake	http://l7.alamy.com/zooms/90bd381574de4da099b1a391c7e15cd9/a-silhouette-of-tree-during-sunset-c951dt.jpg	1	0	0	0	1	0	0	1	0	0	
floral pattern flourish tiled oriental ethnic background .	https://thumb1.shutterstock.com/display_pic_with_logo/1210925/163728140/stock-vector-royal-seamless-vector-pattern-on-a-beige-background-163728140.jpg	1	0	0	0	0	0	0	0	0	0	
western christian holiday to all !	https://i.pinimg.com/736x/72/2d/fb/722dfb8763fbbd8d02d32428d1e78cc1--christmas-budget-winter-christmas.jpg	0	0	0	1	0	0	1	0	0	0	text relevant
general view of the construction site .	https://i1.wp.com/www.lecetsouthwest.org/wp-content/uploads/2015/05/Pier-E1-new-bridge.jpg	1	0	0	0	1	0	0	0	1	1	
actor poses at the show as part .	http://i.dailymail.co.uk/i/pix/2014/03/04/article-2572825-1C06E11C00000578-523_634x809.jpg	1	0	0	1	1	0	0	0	1	0	
wild boar in the forest	https://ak1.picdn.net/shutterstock/videos/14372161/thumb/1.jpg	1	0	0	0	1	0	0	0	1	0	
geological map of the study area	https://ars.els-cdn.com/content/image/1-s2.0-S0377027306003477-gr2.jpg	1	0	0	0	0	0	1	0	0	0	text relevant
a stack of pancakes with bananas	https://copykat.com/wp-content/uploads/2017/12/dennys-moons-over-my-hammy-ingredients-2.jpg	0	0	0	0	0	1	0	0	0	0	junk
vector illustration on a theme of person	https://thumb9.shutterstock.com/display_pic_with_logo/880891/370314092/stock-photo-glowing-little-lights-hanging-on-a-string-370314092.jpg	1	0	0	1	0	0	0	0	0	0	
a woman walks her dog	http://www.abc.net.au/news/image/8198836-3x2-700x467.jpg	1	0	1	0	0	0	0	0	0	0	
view of the bar area	http://ww1.hdnux.com/photos/46/32/11/10068560/7/920x920.jpg	1	0	0	0	1	0	0	0	0	1	
pork ribs cooking on the grill	https://envato-shoebox-0.imgix.net/369d/d6bf-d594-47de-8099-619a35a03b92/DSC_5380-2.jpg?w=700&fit=max&mark=https%3A%2F%2Felements-assets.envato.com%2Fstatic%2Fwatermark2.png&markalpha=18&markalign=center%2Cmiddle&auto=compress%2Cformat&s=b286694cff9f40a7f3c8ed70e3e08ae5	1	0	0	0	0	0	0	0	0	0	
top - sewing pattern by person and the buttons	https://i.pinimg.com/736x/66/d2/44/66d2443d412b56dafb329b5a5a681e4f--couture-tops-lucca.jpg	0	0	0	1	0	0	0	0	0	0	
heavy traffic in the city	http://l7.alamy.com/zooms/0fb9e28895c9482e936224fa0103663f/a-man-having-his-hair-cut-on-the-street-saigon-vietnam-cp0p90.jpg	1	0	0	0	1	0	0	0	1	0	
person in a beautiful dress	https://us.123rf.com/450wm/andersonrise/andersonrise1610/andersonrise161000284/64121234-portrait-close-up-of-a-beautiful-young-woman-in-turquoise-tight-clothes-isolated-on-gray-background.jpg?ver=6	1	1	0	0	0	0	0	0	0	0	
i want this in my yard !	https://i.pinimg.com/736x/fc/18/df/fc18df190a7292876f9e35bcb9ca8fed--indoor-trees-indoor-plants.jpg	0	0	0	1	0	0	0	0	0	0	
ways to style leather pants this spring	http://www.stylemotivation.com/wp-content/uploads/2014/09/trench-7.jpg	0	0	0	1	0	0	0	0	0	0	
this is an example of a traditional porch design .	http://www.chairdocofboone.com/scan0001.jpg	0	0	0	0	0	1	0	0	0	0	junk
how to make a flower arrangement .	https://i.pinimg.com/736x/91/cb/fd/91cbfd651de74ad1ddcc949d4468eeea--office-plants-apartment-gardening.jpg	0	0	0	1	0	0	0	0	0	0	
an illustration of a plastic bottle of water	http://40.media.tumblr.com/d64503e738dc425f963506830e0d17b5/tumblr_nhtvzbxGVr1r46py4o1_1280.jpg	0	0	0	0	0	1	0	0	0	0	junk
a thatched cottage in the village	http://l7.alamy.com/zooms/5ff333112d48491590d576847a50b971/thatched-cottage-in-the-seaside-town-of-skerries-fcm3ey.jpg	1	0	0	0	1	0	0	0	1	0	
vector seamless pattern with carrots on a green background .	https://us.123rf.com/450wm/runlenarun/runlenarun1504/runlenarun150400528/39186956-seamless-watercolor-pattern-with-tiny-carrots-on-the-white-background.jpg	1	0	0	0	0	0	0	0	0	0	
pop artist performs onstage during awards	https://media.gettyimages.com/photos/nadja-swarovski-speaks-onstage-at-the-2015-cfda-fashion-awards-at-picture-id475561990?s=612x612	0	0	1	0	1	0	0	1	1	0	
white gazebo on the beach	http://l7.alamy.com/zooms/9e94906f239d451bbb7563f4786c8cf6/a-simple-white-hut-on-a-sandy-beach-with-blue-striped-umbrellas-lounges-d28ma4.jpg	1	0	0	0	1	0	0	0	1	0	
