caption	url	Visible	Subjective	Action	Story	Meta	Irrelevant	Other	When	How	Where	Comment
even though agricultural conditions are not ideal for growing tobacco , there is indigenous production .	https://www.swissinfo.ch/image/40654192/3x2/1024/682/a312f173f207c67824ea7fcf8079012a/gA/tabakinschweiz-15-jpg.jpg	0	1	0	1	0	0	0	0	0	0	
actor arrives for the premiere of the film	https://media.gettyimages.com/photos/actor-john-cothran-jr-arrives-for-the-premiere-of-the-film-black-in-picture-id539614492?s=612x612	1	0	0	0	0	0	0	0	0	0	
celebrities start decorating for the christmas season lifestyle	http://images.gmanews.tv/webpics/2016/11/640_2_2016_11_29_17_19_15.jpg	1	0	0	0	0	0	0	0	0	0	
functions of government : 1 . form a more perfect union	http://images.slideplayer.com/2/765769/slides/slide_46.jpg	0	1	0	0	0	0	1	0	0	0	text
actor attends the premiere of season	https://media.gettyimages.com/photos/actress-kirsten-dunst-attends-the-premiere-of-fxs-fargo-season-2-at-picture-id491859790?s=612x612	1	0	0	0	0	0	0	0	0	0	
all shots by by person and rider shots can be found on his website .	https://ep1.pinkbike.org/p4pb6973204/p4pb6973204.jpg	0	0	0	0	0	0	1	0	0	0	caption is describing where to find pictures like this -- unsure what category to choose
photo of a deer and wildfire	http://2.bp.blogspot.com/-cZpqM2kr2uc/U6v-pnIxM9I/AAAAAAAAaek/OFq7OBbqkv4/s1600/photo-of-a-deer-with-a-wildfire-in-the-background-hd-deer-wallpapers.jpg	1	0	0	0	0	0	0	0	0	0	
high angle view of a businessman lying on a table and singing	https://media.gettyimages.com/photos/high-angle-view-of-a-businessman-lying-on-a-table-and-singing-picture-id56677061?s=612x612	1	0	0	0	0	0	0	0	0	0	
this is real fast food !	https://i.pinimg.com/736x/72/58/85/725885eeb122262762681543e5be28e1--fast-foods-healthy-foods.jpg	0	1	0	0	0	0	0	0	0	0	
safe deposit with money around it on a white background photo	https://us.123rf.com/450wm/artvitdiz/artvitdiz1505/artvitdiz150500153/39598311-safe-deposit-with-money-around-it-on-a-white-background.jpg?ver=6	1	0	0	0	0	0	0	0	0	0	
the giraffe before he was shot dead then autopsied in the presence of the zoo 's visitors , despite an online petition to save him signed by thousands of animal lovers	https://timedotcom.files.wordpress.com/2014/02/dv1633968.jpg	0	0	0	1	1	0	0	0	0	0	
dunes lay the blueprint for the back nine .	http://www.golfeurope.com/photo-galleries/images/preview/39779.jpg	0	0	0	1	0	0	0	0	0	0	
portrait of a smiling woman stroking her dog lying on couch	http://l7.alamy.com/zooms/7f4ac7c33e5841b6a94a35915e5ca1d7/portrait-of-a-smiling-woman-stroking-her-dog-lying-on-couch-d9g1bc.jpg	1	0	0	0	0	0	0	0	0	0	
young business woman on a bench	http://l7.alamy.com/zooms/b7385d563da542c2be31a30be3a069a6/young-business-woman-on-a-bench-g0dktp.jpg	1	0	0	0	0	0	0	0	0	0	
american football player looks downfield during the second half of a football game against sports team	http://img.bleacherreport.net/img/images/photos/003/558/542/hi-res-25da6f4fff0b052f7c72a5af985559ff_crop_north.jpg?h=533&w=800&q=70&crop_x=center&crop_y=top	1	0	0	0	0	0	0	0	0	0	
... and local people to deliver a new bridge	http://davidbarrie.typepad.com/.a/6a00d834519d9469e2013485c5657d970c-800wi	0	0	0	0	0	1	0	0	0	0	text incomplete? 
actor arrives to the premiere	https://media.gettyimages.com/photos/actress-kate-hudson-arrives-to-the-premiere-of-lionsgates-my-best-picture-id82832165?s=612x612	1	0	0	0	0	0	0	0	0	0	
funny animals of the week , animal pictures	http://4.bp.blogspot.com/-NTT96j0rYZ0/U8lsad0ruCI/AAAAAAABBMU/LKmGZp-Hsg8/s1600/funny-animals-117-40.jpg	1	1	0	0	0	0	0	0	0	0	
the sign promises as much as the glorious blue sky .	http://www.brian-coffee-spot.com/wp-content/uploads/wow-slider-plugin/555/images/dsc_0838.jpg	0	1	0	0	0	0	0	0	0	0	
architectural details of a bridge	https://media.gettyimages.com/photos/architectural-details-of-a-bridge-picture-id511832249?s=612x612	1	0	0	0	0	0	0	0	0	0	
people tour and enjoy the public park during summer	http://l7.alamy.com/zooms/a4197bf168734006b10e02a8bebdd34e/people-tour-and-enjoy-the-high-line-public-park-in-new-york-city-during-ga67w4.jpg	1	0	0	0	0	0	0	0	0	0	
interesting 1930 's poster for a cosmetic company with stores .	https://i.pinimg.com/736x/a5/ec/d8/a5ecd8e03c0056d96c49f9c959f2c549--pinup-posters-girl-posters.jpg	0	1	0	1	0	0	0	0	0	0	
racecar driver steers his car during video game subject .	http://cdn.newsapi.com.au/image/v1/af347cd6569987c49a71fe05870753c5?width=1024	1	0	0	0	0	0	0	0	0	0	
vintage elegant floral card with frame decorated with black and white lilies on a pink background .	https://us.123rf.com/450wm/olgakorneeva/olgakorneeva1405/olgakorneeva140500007/28403808-vintage-elegant-floral-card-with-frame-decorated-with-black-and-white-lilies-on-a-pink-background-ve.jpg	1	1	0	0	0	0	0	0	0	0	
heavy snow falls over a snow lined river .	https://ak4.picdn.net/shutterstock/videos/18564824/thumb/1.jpg	1	0	0	0	0	0	0	0	0	0	
pop artist attends the 3rd annual at guest house	https://media.gettyimages.com/photos/actor-kevin-mchale-attends-the-3rd-annual-nautica-oceana-beach-house-picture-id472759470?s=612x612	1	0	0	0	0	0	0	0	0	0	
illustration of a map , its flag and a comic balloon with a soccer ball in a not allowed signal	https://thumb1.shutterstock.com/display_pic_with_logo/1448648/675197230/stock-vector-illustration-of-a-long-shadow-australia-map-its-flag-and-a-comic-balloon-with-a-soccer-ball-in-a-675197230.jpg	1	0	0	0	0	0	0	0	0	0	
rock artist performs on stage at awards held	https://media.gettyimages.com/photos/musician-sting-performs-on-stage-at-the-46th-annual-grammy-awards-at-picture-id2949702?s=612x612	1	0	0	0	0	0	0	0	0	0	
green sea turtle isolated on a white background 3d illustration	https://us.123rf.com/450wm/2dmolier/2dmolier1609/2dmolier160900217/62773498-green-sea-turtle-isolated-on-a-white-background-3d-illustration.jpg?ver=6	1	0	0	0	0	0	0	0	0	0	
person , was surprised by the staff	http://i.dailymail.co.uk/i/pix/2017/07/27/17/42B4031600000578-0-image-m-9_1501174323232.jpg	1	0	0	1	0	0	0	0	0	0	
red and white flag on the mast	https://ak6.picdn.net/shutterstock/videos/12263756/thumb/1.jpg	1	0	0	0	0	0	0	0	0	0	
football player celebrates scoring for football team against football team in the final	http://ichef.bbci.co.uk/onesport/cps/624/cpsprodpb/13A58/production/_89827408_kiss.jpg	1	0	0	1	0	0	0	0	0	0	
concept plug - in hybrid car on display	http://l7.alamy.com/zooms/b365ec4718354a5bab1eb4413bbb94ae/detroit-michigan-the-vw-cross-coup-gte-concept-plug-in-hybrid-car-ef27pw.jpg	1	0	0	0	0	0	0	0	0	0	
a pencil drawing of a zebra and her baby .	https://s-media-cache-ak0.pinimg.com/736x/0f/ac/65/0fac65de4eac7d72b4dd73a2bb16a46f.jpg	1	0	0	0	0	0	0	0	0	0	
airline -- reasons why person leads the way in experience	http://file.vintageadbrowser.com/3iodaozwajsgwb.jpg	1	0	0	0	0	0	0	0	0	0	
ninety per cent of the units have balconies with views .	http://www.remonline.com/wp-content/uploads/2017/06/Stone-South-development-1.jpg	0	1	0	1	0	0	0	0	0	0	
a demonstration of a group of people practicing their rights	https://media.gettyimages.com/photos/demonstration-of-a-group-of-people-practicing-their-rights-picture-id172184947?s=612x612	1	0	0	1	0	0	0	0	0	0	
actor and daughters uk premiere held	http://l7.alamy.com/zooms/e163858450394e5aa21b226debd6d01f/sylvester-stallone-jennifer-flavin-and-daughters-the-expendables-2-dmrdh6.jpg	1	0	0	0	0	0	0	0	0	0	
a fine , grainy vector pattern in black and white .	https://image.shutterstock.com/display_pic_with_logo/243661/243661,1275721942,1/stock-vector-a-fine-grainy-vector-pattern-in-black-and-white-54561763.jpg	1	0	0	0	0	0	0	0	0	0	
seamless border of orange roses and paisley , pattern on a white background .	https://thumb1.shutterstock.com/display_pic_with_logo/4555627/761692834/stock-photo-seamless-border-of-orange-roses-and-paisley-watercolor-pattern-on-a-white-background-761692834.jpg	1	0	0	0	0	0	0	0	0	0	
students in front of a school	http://l7.alamy.com/zooms/50937c69ef8f4289a71ef77f1ccf593f/ghana-central-region-komenda-students-in-front-of-a-school-cp4tgf.jpg	1	0	0	0	0	0	0	0	0	0	
museum , opened is among the 20th - century 's most significant buildings .	https://www.papercitymag.com/wp-content/uploads/2017/06/Menil-40-680x1024.jpg	0	1	0	0	0	0	0	0	0	0	
river as it meets bodies of water where airline meets	http://l7.alamy.com/zooms/faf62ef929df42f49afde816f043a2a6/fraser-river-as-it-meets-the-pacific-ocean-where-delta-meets-richmond-erk04d.jpg	1	0	0	0	0	0	0	0	0	0	
young rock star jamming on a guitar	https://media.istockphoto.com/photos/young-rock-star-jamming-on-a-guitar-picture-id185283450?k=6&m=185283450&s=612x612&w=0&h=ZRLfgSeOLNpmSH9S9uITPMGYuk7_NxoV136NdgiXoJU=	1	0	0	0	0	0	0	0	0	0	
a moored fishing boat viewed from island .	http://l7.alamy.com/zooms/8e24000f1ff244508864657b048b3a8b/a-moored-fishing-boat-viewed-from-bryher-isles-of-scilly-cornwall-b7g5nt.jpg	1	0	0	0	0	0	0	0	0	0	
vector illustration of person isolated on a white background	https://image.shutterstock.com/z/stock-vector-vector-illustration-of-a-cartoon-lion-head-isolated-on-a-white-background-516650239.jpg	0	1	0	0	0	0	0	0	0	0	
emergency services were called after a car smashed through a set of traffic lights	http://www.readingchronicle.co.uk/resources/images/6179443.jpg?display=1&htype=80&type=responsive-gallery	0	0	0	1	0	0	0	0	0	0	
sheep with a black face fenced in on a winter day	http://c8.alamy.com/comp/K32RAK/sheep-with-a-black-face-fenced-in-on-a-winter-day-K32RAK.jpg	1	0	0	0	0	0	0	0	0	0	
a small park with flags and a yellow banner around a tree in support of troops	http://l7.alamy.com/zooms/1ff618175b9d44a883c2a6bdf5b28fa1/a-small-park-with-american-flags-and-a-yellow-banner-around-a-tree-acfbd8.jpg	1	0	0	0	0	0	0	0	0	0	
isolated water glass on a white background	https://thumb1.shutterstock.com/display_pic_with_logo/2176973/632286614/stock-vector-isolated-water-glass-on-a-white-background-vector-illustration-632286614.jpg	1	0	0	0	0	0	0	0	0	0	
when choosing your new outdoor color palette , opt for something that will enhance your home 's architectural style and give you plenty of curb appeal .	https://s-media-cache-ak0.pinimg.com/736x/99/fe/30/99fe30e84fc07f4c4f1d513a267298ef.jpg	0	1	0	0	0	0	0	0	0	0	
person at a corporate event	https://cdn0.weddingwire.co.uk/emp/fotos/8/3/0/3/amy-7_4_108303.png	1	0	0	0	0	0	0	0	0	0	
bulldozer on a building site	https://media.istockphoto.com/photos/bulldozer-on-a-building-site-picture-id467448303?k=6&m=467448303&s=612x612&w=0&h=4HNBM4KKb6ZmLpF98JWA2_eog44rbKMnfKLqR5W92hg=	1	0	0	0	0	0	0	0	0	0	
person finishes at the top	http://jesuitpride.com/images/2017/7/11/Fairfield_Prep_Golf_2017_10_1280x801_.jpg	0	0	0	1	0	1	0	0	0	0	
country shape animated on the satellite map of the globe	https://ak1.picdn.net/shutterstock/videos/15389011/thumb/9.jpg	1	0	0	0	0	0	0	0	0	0	
paths are clearly marked with signs like this .	https://seekingfelicity.files.wordpress.com/2014/06/p1130733.jpg	1	0	0	0	0	0	0	0	0	0	
putts for birdie on the second hole during the final round of the golf tournament .	https://i.pinimg.com/736x/9b/db/ee/9bdbeea03d5b41abf42112e62dffaf17--lexi-thompson-rancho.jpg	0	0	0	1	0	0	0	0	0	0	
person shot from a cliff looking out at the lake and horizon .	https://ak1.picdn.net/shutterstock/videos/28480321/thumb/1.jpg?i10c=img.resize(height:160)	1	0	0	0	1	0	0	0	0	0	
sending this angel your way ... it lights the way with it 's tiny candle .	https://i.pinimg.com/736x/df/dd/9a/dfdd9afbf7e1b6a2e02b470935080fd4--willow-tree-angels-willow-tree-figurines.jpg	0	1	0	1	0	0	0	0	0	0	
i love the colours of her clothes .	https://i.pinimg.com/736x/02/0c/af/020caf611d954ec263d1d97b054fa8ae--stockholm-street-style-muse.jpg	0	1	0	0	0	0	0	0	0	0	
a very simplified location and geological map of the area and adjacent coast	http://www.southampton.ac.uk/~imw/jpg-Kimmeridge/9KM-kimloc-recovered-m.jpg	1	1	0	0	0	0	0	0	0	0	
ask owner for photos of the car	https://www.carsdir.com/carsphotos/chevrolet-corvette-1966-211995-1.jpg	0	0	0	0	0	0	1	0	0	0	not sure how to mark the relation behind a request and image
the state of the world 's forests	https://3c1703fe8d.site.internapcdn.net/newman/gfx/news/2015/thestateofth.jpg	1	0	0	0	0	0	0	0	0	0	
the mountain slopes covered with powdery snow are popular with visitors , especially foreign tourists	http://oneindiaonepeople.com/wp-content/uploads/2014/02/13.jpg	1	0	0	1	0	0	0	0	0	0	
farm tractor is moving on the field , cultivating land	https://ak7.picdn.net/shutterstock/videos/3682697/thumb/1.jpg	1	0	0	0	0	0	0	0	0	0	
master playing with his little golden retriever dog on the lawn	http://l7.alamy.com/zooms/6ce413683932455f9214da51ef6c8a78/master-playing-with-his-little-golden-retriever-dog-on-the-lawn-bxgte5.jpg	1	0	0	0	0	0	0	0	0	0	
year later the small shrubs doubled in size .	https://tipsfromashton.files.wordpress.com/2016/10/blog.jpg	0	1	0	0	0	0	0	0	0	0	
according to the model , she regularly gets told it looks	https://www.thesun.co.uk/wp-content/uploads/2017/01/nintchdbpict000298300836.jpg?strip=all&w=960	0	0	0	0	0	1	0	0	0	0	text incomplete
person and the fiancee at their engagement party .	https://4.bp.blogspot.com/-cXyu3d6rNLY/WSxxaO_AXXI/AAAAAAAAAfY/6fRZlRd8rBwPE29jXxvUn-vpmRBK_1QewCLcB/s1600/sergio-garcia-angela-akins.jpg	1	0	0	0	0	0	0	0	0	0	
good night id been working like a dog i should be sleeping like a log	https://www.birthdaywishes.expert/wp-content/uploads/2015/12/Good-night-image-with-puppy-and-quote.jpg	0	1	0	0	0	0	0	0	0	0	
the water was never deeper than your chest .	https://acanadianincambodia.files.wordpress.com/2015/10/preah-vihear-day-4-052.jpg	0	1	0	0	0	0	0	0	0	0	
twilight over italian gothic structure and the medieval town	http://l7.alamy.com/zooms/252ec157a42f4615a4c9639a6b1148f1/twilight-over-palazzo-dei-priori-and-the-medieval-town-of-volterra-hfpkxa.jpg	1	0	0	0	0	0	0	0	0	0	
a simple wedding cake with lego bride and groom topper and cake pops .	https://lynismael.com/wp-content/uploads/2015/05/Holland-Marsh-Wedding-Photographer-Katelyn-Rick_0047(pp_w768_h534).jpg	1	0	0	0	0	0	0	0	0	0	
simple custom leather pulls for your dresser , cabinets , or doors .	https://i.pinimg.com/736x/35/c8/b5/35c8b5737ded3c62498491a79c04a2e0.jpg	1	0	0	0	0	0	0	0	0	0	
sunny woodland morning along river .	http://www.hollowtop.com/journals/Tongue_River_Photos/Sunny_Morning.jpg	1	0	0	0	0	0	1	0	0	0	half true? but where is the river
person , why u turn me on with your designs ? i believe i will bepinning some more of his work here in a bit .	https://i.pinimg.com/736x/d2/0b/7b/d20b7bff927a6d166573414d4ffbf554--dead-zombie-zombie-art.jpg	0	1	0	0	0	1	0	0	0	0	
pop artist performs on stage .	http://media.gettyimages.com/photos/entertainer-beyonce-performs-on-stage-during-the-formation-world-tour-picture-id538724332	1	0	0	0	0	0	0	0	0	0	
industrial plants in the distance at night	https://media.istockphoto.com/photos/industrial-plants-in-the-distance-at-night-picture-id479157539?k=6&m=479157539&s=612x612&w=0&h=0EmjeUArhPcd38poc3cqx_bq0-IKvnfh1qhlxCfesM4=	1	0	0	0	0	0	0	0	0	0	
building and skyscraper light up at night	http://l7.alamy.com/zooms/476f507779b646c4b9ae7e3894c76eb8/the-empire-state-building-and-one-world-trade-center-light-up-at-night-fcn345.jpg	1	0	0	0	0	0	0	0	0	0	
actor is an actor who started out as a lawyer .	https://i.pinimg.com/736x/83/ab/4f/83ab4fbbb6ac094cfad07c94a31bab4d--beautiful-eyes-beautiful-people.jpg	0	0	0	1	0	0	0	0	0	0	
color good with green couch in living room ... favorite ... i think maybe a little too peach ?	https://i.pinimg.com/736x/58/2a/ec/582aecd2587e4473c761fb75d8612eb6--living-room-green-couches-living-rooms.jpg	0	1	0	0	0	0	0	0	0	0	
tree branches swing at real time with the wind while clouds move fast in time lapse	https://ak8.picdn.net/shutterstock/videos/5281628/thumb/1.jpg	0	0	0	1	0	0	0	0	0	0	
my coffee of the day !	https://burpple-1.imgix.net/foods/2cb7a04812e4af46eb01248319_original.?w=645&dpr=1&fit=crop&q=80	0	1	0	0	0	0	0	0	0	0	
mirror image : lonely kitten seeks comfort in the form of a cuddly cat	http://i.dailymail.co.uk/i/pix/2017/04/24/15/3F8F1B3400000578-4440472-image-a-184_1493045915515.jpg	0	1	0	0	0	0	0	0	0	0	
this trick really is the best way to cut corn off the cob , because it saves making a big mess on the counter and floor .	https://thrivinghomeblog.com/wp-content/uploads/2015/05/Best-way-to-cut-corn-off-a-cob.jpg	0	1	0	1	0	0	0	0	0	0	
portrait of young mother and little child brushing their teeth together while standing in the bathroom	http://c8.alamy.com/comp/K7AFM5/portrait-of-young-mother-and-little-child-brushing-their-teeth-together-K7AFM5.jpg	1	0	0	0	0	0	0	0	0	0	
the harbor a small village	http://l7.alamy.com/zooms/d431eb7cc72a4a99a4038d497ebf29b3/the-harbor-of-volendam-a-small-village-in-the-netherlands-bc35b6.jpg	1	1	0	0	0	0	0	0	0	0	
a traffic sign warns of surfers crossing !	https://coolsandiegosights.files.wordpress.com/2017/03/img_6221z-a-traffic-sign-warns-of-surfers-crossing.jpg?w=660	1	0	0	0	0	0	0	0	0	0	
greeting card with bright blue text and abstract christmas tree on a white background vector art illustration	https://media.istockphoto.com/illustrations/greeting-card-with-bright-blue-text-and-abstract-christmas-tree-on-a-illustration-id894741674?k=6&m=894741674&s=612x612&w=0&h=KuDCoptNP1o16yQqxg9zPyeoqdbm2c7-CO_TodYXgug=	1	0	0	0	0	0	0	0	0	0	
such pretty watercolor flowers and can be in any languages	https://i.pinimg.com/736x/de/12/7b/de127bc032b298fed1eadb6cfa2dc074--watercolor-flowers-languages.jpg	0	1	0	0	0	0	0	0	0	0	
newspaper became a free newspaper	http://l7.alamy.com/zooms/74672aec4cd94d2da13984df5477990d/london-the-evening-standard-became-a-free-newspaper-in-november-2009-bfpyaf.jpg	1	0	0	0	0	0	0	0	0	0	
ancient open prairie of west on a cold morning beds and grasses cover much of the area	http://l7.alamy.com/zooms/7ef98481b4624328824aa63d478de475/ancient-open-prairie-of-north-dakota-west-of-minot-on-a-cold-morning-bd0mba.jpg	1	1	0	0	0	0	0	0	0	0	
forest on a sunny day	https://ak1.picdn.net/shutterstock/videos/6743041/thumb/1.jpg	1	0	0	0	0	0	0	0	0	0	
happy senior couple with dog on a hike in summer in the nature	https://thumb10.shutterstock.com/display_pic_with_logo/183121/310590383/stock-photo-happy-senior-couple-with-dog-on-a-hike-in-summer-in-the-nature-310590383.jpg	1	0	0	0	0	0	0	0	0	0	
illustrator who has a rather simply haunting style .	https://i.pinimg.com/736x/32/0e/3f/320e3f99b79dc0117bcab995fd90bcc1--gabriel-fontana.jpg	0	1	0	0	0	0	0	0	0	0	
birds fly up to the feeder and take seeds , snow on trees , falling snowflakes for the birdhouse	https://ak8.picdn.net/shutterstock/videos/23295238/thumb/1.jpg	0	0	0	1	0	0	0	0	0	0	
leopard dragging its kill in the desert	http://l7.alamy.com/zooms/2a2e5fa29c744bcaafc9366a01495358/leopard-dragging-its-kill-in-the-kalahari-desert-drfpd6.jpg	1	0	0	1	0	0	0	0	0	0	
on a lovely winter 's evening .	http://l7.alamy.com/zooms/2efd36f783044e7287967e0af6129f4e/the-merrion-centre-leeds-city-centre-on-a-lovely-winters-evening-lots-ha44kr.jpg	0	0	0	1	0	0	0	0	0	0	
first screenshot of the conversation between users , where one abruptly finds out that they 've been reading a version of harry potter .	https://i.stack.imgur.com/zNsGX.jpg	1	0	0	0	0	0	1	0	0	0	text
taking to the streets : person is psychedelic rock artist in this mock up of their album cover	http://i.dailymail.co.uk/i/pix/2011/11/23/article-2065419-0EEB7F9F00000578-77_634x585.jpg	0	1	0	0	0	0	0	0	0	0	
glass of whiskey with ice on the table	https://media.istockphoto.com/photos/glass-of-whiskey-with-ice-on-the-table-picture-id654761464?k=6&m=654761464&s=612x612&w=0&h=D8Ev-rq7jJfNQ2MFPV94oEisdOUcEpEGrJj4lkUKiMU=	1	0	0	0	0	0	0	0	0	0	
vector illustration of a flat design of the house	https://us.123rf.com/450wm/amelisk/amelisk1612/amelisk161200423/66907761-vector-illustration-of-a-flat-design-of-the-house-stock-vector.jpg?ver=6	0	0	0	0	0	1	0	0	0	0	
police car approaching a building by night	http://l7.alamy.com/zooms/9c818fbb89a14c34b3b5e5a9566908a9/mantova-police-car-approaching-a-building-by-night-italy-ayj9ra.jpg	1	0	0	0	0	0	0	0	0	0	
the best gift for photographers - wrist strap - black / blue - lucky camera straps - genuine leather camera strap personalised handmade	https://cdn.shopify.com/s/files/1/0291/0541/products/Wrist_Straps-72815_7924cd4e-9a1c-4284-952a-f458e06fcd8f_1024x1024.jpg?v=1441099113	0	1	0	0	0	0	0	0	0	0	
blue and pink wavy shiny ribbon on a dark background vector	https://us.123rf.com/450wm/giulianni/giulianni1606/giulianni160600002/58310804-blue-and-pink-wavy-shiny-ribbon-on-a-dark-background.jpg?ver=6	1	0	0	0	0	0	0	0	0	0	
fit man stretching and listening to music by the sea	https://media.istockphoto.com/photos/fit-man-stretching-and-listening-to-music-by-the-sea-picture-id674559330?k=6&m=674559330&s=612x612&w=0&h=cJinKW5G-ndIiMb9RzVLp3Lmd4opY75T2tUCeMSJ9hU=	1	0	0	0	0	0	0	0	0	0	
biological species scratching an itch against a tree	http://c8.alamy.com/comp/K66R3P/american-bison-scratching-an-itch-against-a-tree-in-elk-island-national-K66R3P.jpg	1	0	0	0	0	0	0	0	0	0	
a slideshow of some of the best tiny houses available	http://www.nextavenue.org/wp-content/uploads/2017/05/image-3-w1024-750x485.jpg	0	1	0	0	0	0	0	0	0	0	
flag and festive cake on a plate	http://l7.alamy.com/zooms/51944b87b2e04398aa2dce747758dc8a/us-flag-and-festive-cake-on-a-plate-gbc68j.jpg	1	1	0	0	0	0	0	0	0	0	
could make the hallway to the master suite all glass to add some additional separation interesting !	https://i.pinimg.com/736x/4c/47/a1/4c47a160a5f9e65cba4bdabaa67d6b6c--energy-efficient-homes-home-floor-plans.jpg	0	1	0	0	0	0	0	0	0	0	
wedding dress with a v neck	https://www.pronovias.com/media/catalog/product/cache/small_image/9df78eab33525d08d6e5fb8d27136e95/e/l/elva_b.jpg	1	0	0	0	0	0	0	0	0	0	
bride at the barn at high point farms	http://jimmyandkim.com/wp-content/uploads/2014/09/chattanooga-wedding-photographers-004.jpg	1	0	0	1	0	0	0	0	0	0	
coach and person react against basketball team during event .	https://media.gettyimages.com/photos/head-coach-greg-mcdermott-and-assistant-coach-darian-devries-of-the-picture-id653979100	1	0	0	0	0	0	0	0	0	0	
portrait of a happy young man in a red wig	https://thumb7.shutterstock.com/display_pic_with_logo/2181548/306465629/stock-photo-portrait-of-a-happy-young-man-in-a-red-wig-306465629.jpg	1	0	0	0	0	0	0	0	0	0	
a necklace , charm bracelet and set of earrings with logos .	https://today.duke.edu/sites/default/files/styles/story_body/public/Jewelry%20HERO.jpg?itok=_RWZa3vk	1	0	0	0	0	0	0	0	0	0	
this castle dates back to the 19th century .	http://media.cntraveller.in/wp-content/uploads/2014/08/UK_castle.jpg	0	0	0	1	0	0	0	0	0	0	
person finally get their hands with win	https://www.thesun.co.uk/wp-content/uploads/2017/04/nintchdbpict000293376642.jpg?strip=all&w=960	1	0	0	0	0	0	0	0	0	0	
images from the girls basketball game .	http://basketball.dailyherald.com/storyimage/DA/20120112/sports/701129647/EP/1/5/EP-701129647.jpg&updated=201201122120&MaxW=800&maxH=800&noborder	1	0	0	0	0	0	0	0	0	0	
the nerves of the knee	http://l7.alamy.com/zooms/862c5a56486d41539ef2e649e0302d4c/the-nerves-of-the-knee-ack23r.jpg	1	0	0	0	0	0	0	0	0	0	
funny pictures of the day	https://i.pinimg.com/736x/ae/2c/68/ae2c6885f2e4203e098d35a235aa6b8a--funny-shit-funny-stuff.jpg	0	1	0	0	0	0	0	0	0	0	
the sign for a city .	https://ak3.picdn.net/shutterstock/videos/3901463/thumb/4.jpg?i10c=img.resize(height:160)	1	0	0	0	0	0	0	0	0	0	
pop rock artist in the audience during the event	https://media.gettyimages.com/photos/singer-demi-lovato-in-the-audience-during-the-ufc-199-event-at-the-picture-id538199306?s=612x612	1	0	0	0	0	0	0	0	0	0	
young woman lying in the grass	http://l7.alamy.com/zooms/7a39331f54bb4d219f121f4227bbaa3d/young-woman-lying-in-the-grass-bgdajj.jpg	1	0	0	0	0	0	0	0	0	0	
a person with a cloud .	https://us.123rf.com/450wm/weiskraft/weiskraft1502/weiskraft150200163/36157181-a-person-with-a-cloud-icon-home-human-thought-bubble-above-his-head-flat-design-style-made-in-vector.jpg?ver=6	0	1	0	0	0	0	0	0	0	0	
person is available with a gift box .	https://cdn.shopify.com/s/files/1/1564/5719/products/Soul___Ark_Black_Matt_Box_Soy_Candle_5f44f6ec-02ac-4048-bab1-935f303dbbf0_600x@2x.jpg?v=1503899328	0	1	0	0	0	0	1	0	0	0	should person be object/item/candle instead? 
